Victim,Time,Victims #,Attacked / Murdered / Break-in,Location,Latitude,Longitude,Confirmed Axeman
August Crutti,13/08/1910,1,Attacked,Royal St. and Lesseps St.,29.9608535,-90.0339301,Yes
Joseph Rissetto,20/09/1910,2,Attacked,Tonti St. and A.P. Tureaud Avenue,29.9801947,-90.0671960,Yes
Joseph Davi,26/06/1911,2,Murdered,Arts and Galvez St.,29.9790054,-90.0530340,Yes
Tony Sciambra,05/16/1912,2,Shot,France St. and Villere St.,29.9682166,-90.0327735,No
Vincent Miramon,19/05/1917,1,Attacked,4131 Washington Ave.,29.9522382,-90.1010203,No
Joseph Girard,05/29/1917,3,Attacked,3429 Fern Street,29.9621572,-90.1105862,No
Epifanio Andollina,22/12/1917,3,Attacked,Apple St. and Dante Street,29.9589082,-90.1216282,No
Joseph Maggio,24/05/1918,2,Murdered,Upperline St. and Magnolia St.,29.9370107,-90.1074488,Yes
Louis Besumer,26/06/1918,2,Murdered,Dorgenois St. and Laharpe St.,29.9775280,-90.0768367,Maybe
Mary Schneider,05/08/1918,1,Attacked,1320 Elmira St.,29.9418459,-90.0478877,Yes
Joseph Romano,10/08/1918,3,Murdered,2336 Gravier St.,29.9588063,-90.0878807,Yes
Toney Caronna,19/08/1918,0,Break-in,South Clairborne St. and General Taylor St.,29.9406836,-90.1000669,No
Frank Guarisco,20/08/1918,0,Break-in,Tchoupitoulas St. and Calliope St.,29.9379696,-90.0668867,No
Paul Lobella,21/08/1918,0,Break-in,Zimple St. and Cherokee St.,29.9427472,-90.1258220,No
Charles Cortimiglia,10/03/1919,3,Murdered,Second St. Gretna,29.9168723,-90.0626178,Yes
Paul Gondollo,03/08/1919,1,Break-in,2125 Second St.,29.9370951,-90.0868587,No
Sarah Laumann,03/08/1919,1,Attacked,2123 Second St.,29.9370791,-90.0867908,No
Mike Pepitone,27/10/1919,1,Murdered,S Scott St. and Ulloa St.,29.9680050,-90.1053123,Yes